title	genre	north_america_release	source_page
#KillAllZombies	Action	Dec 2, 2016	List_of_PlayStation_Vita_games_(A–D)
10 Second Ninja X	Platform	Jul 19, 2016	List_of_PlayStation_Vita_games_(A–D)
1001 Spikes	Platform	Jun 3, 2014	List_of_PlayStation_Vita_games_(A–D)
2013: Infected Wars	Third-person shooter	Mar 24, 2015	List_of_PlayStation_Vita_games_(A–D)
2064: Read Only Memories	Adventure	Dec 9, 2017	List_of_PlayStation_Vita_games_(A–D)
36 Fragments of Midnight	Platform	Oct 6, 2017	List_of_PlayStation_Vita_games_(A–D)
7'scarlet	Otome game	May 25, 2018	List_of_PlayStation_Vita_games_(A–D)
88 Heroes	Action	Apr 23, 2021	List_of_PlayStation_Vita_games_(A–D)
99Vidas	Beat 'em up	Jul 18, 2017	List_of_PlayStation_Vita_games_(A–D)
A Boy and His Blob	Platform	Jan 21, 2016	List_of_PlayStation_Vita_games_(A–D)
A Hole New World	Platform	Oct 13, 2019	List_of_PlayStation_Vita_games_(A–D)
A Rose in the Twilight	Adventure, puzzle	Apr 11, 2017	List_of_PlayStation_Vita_games_(A–D)
A Virus Named TOM	Puzzle	Apr 5, 2016	List_of_PlayStation_Vita_games_(A–D)
A Winter's Daydream	Visual novel	Oct 8, 2019	List_of_PlayStation_Vita_games_(A–D)
A-Men	Action-puzzle	Aug 13, 2013	List_of_PlayStation_Vita_games_(A–D)
A-Men 2	Action-puzzle	Nov 5, 2013	List_of_PlayStation_Vita_games_(A–D)
A.W.: Phoenix Festa	Simulation	Jul 26, 2016	List_of_PlayStation_Vita_games_(A–D)
Aabs Animals	Pet-raising simulation	Jul 9, 2013	List_of_PlayStation_Vita_games_(A–D)
Accel World vs. Sword Art Online	Role-playing	Jul 7, 2017	List_of_PlayStation_Vita_games_(A–D)
Access Denied	Action	Dec 16, 2016	List_of_PlayStation_Vita_games_(A–D)
Active Neurons	Action	Apr 29, 2020	List_of_PlayStation_Vita_games_(A–D)
Active Soccer 2 DX	Sports	Jul 25, 2017	List_of_PlayStation_Vita_games_(A–D)
Actual Sunlight	Role-playing	Aug 11, 2015	List_of_PlayStation_Vita_games_(A–D)
Adventure Time: The Secret of the Nameless Kingdom	Action-adventure	Nov 18, 2014	List_of_PlayStation_Vita_games_(A–D)
Adventures of Mana	Role-playing	Jun 28, 2016	List_of_PlayStation_Vita_games_(A–D)
Aegis of Earth: Protonovus Assault	Tower defense	Mar 15, 2016	List_of_PlayStation_Vita_games_(A–D)
AeternoBlade	Action	Feb 10, 2015	List_of_PlayStation_Vita_games_(A–D)
Age of Zombies	Action-adventure	Jan 14, 2014	List_of_PlayStation_Vita_games_(A–D)
Air Race Speed	Racing	Dec 20, 2016	List_of_PlayStation_Vita_games_(A–D)
Akiba's Beat	Action role-playing	May 16, 2017	List_of_PlayStation_Vita_games_(A–D)
Akiba's Trip: Undead & Undressed	Action-adventure	Aug 12, 2014	List_of_PlayStation_Vita_games_(A–D)
Alien Breed	Action	Feb 12, 2013	List_of_PlayStation_Vita_games_(A–D)
Alien Shooter	Shooter	May 19, 2015	List_of_PlayStation_Vita_games_(A–D)
Alone with You	Exploration	Aug 23, 2016	List_of_PlayStation_Vita_games_(A–D)
Alphaset by POWGI	Puzzle	Aug 25, 2020	List_of_PlayStation_Vita_games_(A–D)
Alteric	Platform	Oct 11, 2017	List_of_PlayStation_Vita_games_(A–D)
Alvastia Chronicles	Role-playing	Feb 12, 2019	List_of_PlayStation_Vita_games_(A–D)
Amnesia: Memories	Otome game	Aug 25, 2015	List_of_PlayStation_Vita_games_(A–D)
Angry Birds Star Wars	Puzzle	Oct 29, 2013	List_of_PlayStation_Vita_games_(A–D)
Angry Birds Trilogy	Puzzle	Oct 15, 2013	List_of_PlayStation_Vita_games_(A–D)
Another World: 20th Anniversary Edition	Platform action-adventure	Jul 8, 2014	List_of_PlayStation_Vita_games_(A–D)
Antiquia Lost	Role-playing	Sep 5, 2017	List_of_PlayStation_Vita_games_(A–D)
Aqua Kitty: Milk Mine Defender DX	Shoot 'em up	Nov 25, 2014	List_of_PlayStation_Vita_games_(A–D)
Ar Nosurge Plus	Role-playing	Jul 2, 2015	List_of_PlayStation_Vita_games_(A–D)
Arcana Heart 3: Love Max!!!!!	Fighting	Sep 23, 2014	List_of_PlayStation_Vita_games_(A–D)
Army Corps of Hell	Action	Feb 22, 2012	List_of_PlayStation_Vita_games_(A–D)
Asdivine Dios	Role-playing	Jul 2, 2019	List_of_PlayStation_Vita_games_(A–D)
Asdivine Hearts	Role-playing	Jan 10, 2017	List_of_PlayStation_Vita_games_(A–D)
Asdivine Hearts II	Role-playing	Jan 15, 2019	List_of_PlayStation_Vita_games_(A–D)
Asdivine Menace	Role-playing	Sep 3, 2019	List_of_PlayStation_Vita_games_(A–D)
Asphalt: Injection	Racing	Feb 15, 2012	List_of_PlayStation_Vita_games_(A–D)
Assassin's Creed Chronicles Trilogy Pack	Platform	Apr 5, 2016	List_of_PlayStation_Vita_games_(A–D)
Assassin's Creed III: Liberation	Action	Oct 30, 2012	List_of_PlayStation_Vita_games_(A–D)
